2023-12-04 14:28:26,193 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: stop_status
2023-12-04 14:28:26,193 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:28:26,193 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: keepalive
2023-12-04 14:28:26,193 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: stop_status
2023-12-04 14:28:26,255 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_modified():288] file/dir modified: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\conda-environment.yaml
2023-12-04 14:28:26,255 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_created():271] file/dir created: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\wandb-metadata.json
2023-12-04 14:28:26,340 DEBUG   SenderThread:5320 [sender.py:send():379] send: telemetry
2023-12-04 14:28:26,340 DEBUG   SenderThread:5320 [sender.py:send():379] send: files
2023-12-04 14:28:26,340 INFO    SenderThread:5320 [sender.py:_save_file():1375] saving file wandb-metadata.json with policy now
2023-12-04 14:28:26,704 INFO    wandb-upload_0:5320 [upload_job.py:push():131] Uploaded file C:\Users\ajmo276\AppData\Local\Temp\tmp3spncz0bwandb\q8cdu99a-wandb-metadata.json
2023-12-04 14:28:27,259 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_created():271] file/dir created: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\output.log
2023-12-04 14:28:27,354 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:28:29,274 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_modified():288] file/dir modified: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\output.log
2023-12-04 14:28:31,338 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: keepalive
2023-12-04 14:28:31,338 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: stop_status
2023-12-04 14:28:31,338 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: stop_status
2023-12-04 14:28:32,408 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:28:37,427 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:28:42,459 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:28:46,190 DEBUG   SystemMonitor:5320 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-12-04 14:28:46,190 DEBUG   SenderThread:5320 [sender.py:send():379] send: stats
2023-12-04 14:28:46,365 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: stop_status
